Books,Price,mrp,Discount,Writer,Rating,People Liked
Bharat Ki Aantarik Suraksha Aur Mukhya Chunautiyan,288,?310,7% off,"Hindi, Paperback, Kumar Ashok",4.5,"-3,850"
Upsc Civil Seva Prarambhik Pareeksha-2023 Samanya Adhya...,462,?695,33% off,"Hindi, Paperback, Rannjan Manish",4.3,-163
Upsc Csat Samanya Adhyayan Paper-II Solved Papers 2011-...,220,?225,2% off,"Hindi, Paperback, unknown",4.2,-89
Upsc Csat General Studies Paper-II (Civil Services Apti...,220,?225,2% off,"English, Paperback, unknown",4.2,-130
Ethical Dilemmas of a Civil Servant,310,?320,3% off,"English, Paperback, Swarup Anil",4.6,-691
Comprehensive Solutions Combined Medical Services (Cms)...,539,?900,40% off,"English, Paperback, unknown",4.3,-92
"Upsc Civil Services Preliminary Exam-2023, 28 Years Top...",472,?725,34% off,"English, Paperback, Rannjan Manish",4.3,-63
Upsssc Sammilit Awar Adhinasth Sewa (Samanya Chayan) Pr...,149,?165,9% off,"Hindi, Paperback, Mathur Rajesh",4.1,-67
PW Sampoorna UPSC Ancient India Book | UPSC | Civil Ser...,199,?279,28% off,"Paperback, PW",4.5,-71
Bhartiya Arthvyavastha,725,,,"Hindi, Paperback, Singhania Nitin",4.4,-338
PW Sampoorna UPSC Indian Polity & Constitution (Volume-...,352,?529,33% off,"Paperback, PW",4.4,-25
Disaster Management  - DISASTER MANAGEMENT,116,?145,20% off,"Paperback, PAVNEET SINGH",4.4,-88
Set Of 2: Fundamentals Of Geography & Principles Of Ind...,702,"?1,299",45% off,Sponsored,4.5,"-1,242"
Environment + History + Polity + Economy + Art & Cultur...,2199,"?3,999",45% off,Sponsored,4.7,-86
Pracheen Aur Madhyakalin Bharat ( Hindi|2nd Edition) |U...,558,,,"Paperback, Poonam Dalal Dahiya",4.4,-700
Itihas (Bharat ka Itihas aur Bharatiya Rashtriya Andola...,276,?365,24% off,"Hindi, Paperback, Kumar Nalin",4.1,-104
Geography of India,775,?785,1% off,"English, Paperback, Husain Majid",4.5,"-10,478"
35 Landmark Social Developments for Upsc IAS/ Ips Preli...,216,?240,10% off,"English, Paperback, Jha Ajit Kumar",4.4,-116
School Atlas from Inikao - School Student World Atlas M...,194,?250,22% off,Sponsored,4.4,"-1,754"
Unique Quintessence of A Compendium of Essays,338,?450,24% off,Sponsored,4.4,-51
The Indian Polity & Governance Compendium for IAS Preli...,302,?310,2% off,"English, Paperback, Disha Experts",4.4,-415
General Studies Paper 1 2021 for Civil Services Prelimi...,1315,,,"English, Paperback, unknown",4.5,-558
5 Mock Tests for Upsc IAS/ Ips Mains General Studies Pa...,220,?275,20% off,"English, Paperback, unknown",4.6,-55
Important Contemporary Issues,475,,,"English, Paperback, Mehrishi Rajiv",4.6,-114
Upsc General Studies IAS Prelims (26 Years) & Mains (6 ...,999,,,"English, Paperback, unknown",4.5,-316
Super 10 Mock Tests for IAS Prelims Samanya Adhyayan 20...,225,,,"Hindi, Paperback, unknown",4.3,-126
"Indian Economy for Civil Services, Universities and Oth...",740,,,"English, Paperback, unknown",4.5,"-4,777"
Passport to LBSNAA by Pavneet Singh (2nd Edition) | How...,159,?190,16% off,"Paperback, PAVNEET SINGH",4.7,-33
Vidhi Series 18 Bhartiya Samvidhan,115,,,"Hindi, Paperback, unknown",3.8,-58
Passport to LBSNAA | Syllabus | Strategy | BookList |,144,?180,20% off,"Paperback, Pavneet Singh",4.5,-597
Current Affairs MCQS for Prelims 2020,299,?305,1% off,"English, Paperback, Singh Parveen",4.3,-116
Samanya Adhyayan - Prashnapatra I for Civil Seva Praram...,1161,"?1,595",27% off,"Hindi, Paperback, unknown",4.4,-171
Important Judgments That Transformed India,259,?299,13% off,"English, Paperback, George Alex Andrews",4.5,"-5,861"
Study Package for Civil Services IAS Prelims Paper 2 wi...,1005,,,"English, Paperback, unknown",4.4,-9
Challenges to Internal Security of India,294,,,"English, Paperback, unknown",4.2,-132
Upsc Gs Prelims Previous Years Solved Papers Chapterwis...,553,?595,7% off,"English, Paperback, unknown",4.2,-45
Indian Polity for UPSC (English) | 7th Edition | Civil ...,751,"?1,045",28% off,"English, McGraw Hill, Laxmikanth M",4.4,"-4,868"
Ncert Digest History Old + New Ncert Class vi XII Conce...,364,?470,22% off,"English, Paperback, unknown",4.4,-198
Indian Geography Through Maps | UPSC Civil Services | S...,310,?350,11% off,"Paperback, Somesh Upadhyay, IAS",4.3,-12
India After Gandhi,699,,,"English, Paperback, Guha Ramachandra",4.6,"-7,277"
Indian Geography’ “NCERT KA SAAR” (Class VI-XII):- Usef...,221,?250,11% off,"Hindi, Paperback, JBC PRESS",4.2,-193
A Comprehensive History of Modern India |UPSC Civil Ser...,473,?615,23% off,"Paperback, Spectrum Editorial Board",4.3,-21
28 Varsh Upsc Civil Services IAS Prarambhik Topic-Wise ...,589,?720,18% off,"Hindi, Paperback, Patel Mrunal",4.5,"-2,316"
10 Year Wise Upsc Civil Services IAS Mains English (Com...,184,?190,3% off,"English, Paperback, unknown",4.4,-271
Ncert Digest Political Science Old + New Ncert Class vi...,280,?350,20% off,"English, Paperback, unknown",4.4,-99
10 Previous Year Topic Wise Upsc Civil Services IAS Mai...,473,?799,40% off,"English, Paperback, unknown",4.4,-949
10 Varshvaar Upsc Civil Services IAS Mains Samanya Adhy...,327,?450,27% off,"Hindi, Paperback, unknown",4.2,-115
10 Yearwise Upsc Civil Services IAS Mains Essay Previou...,169,?200,15% off,"English, Paperback, unknown",4.2,-255
"Comprehension, Decision Making & Problem Solving Compen...",182,?260,30% off,"English, Paperback, unknown",4.4,-116
UPSC EPFO EO & AO Enforcement and Accounts Officer Exam...,231,?285,18% off,"Paperback, Think Tank of Kiran Institute of Career Excellence, KICX",4.1,-55
Environment 9th Revised Edition  - Environment 9th Revi...,360,?475,24% off,"English, Paperback, Shankar",4.3,"-1,020"
"CRUX of NCERT (Indian History, Indian Geography, Indian...",292,?400,27% off,"English, Paperback, JBC Press",4.2,-42
Set Of 2: Fundamentals Of Geography & Principles Of Ind...,702,"?1,299",45% off,Sponsored,4.5,"-1,242"
Environment + History + Polity + Economy + Art & Cultur...,2199,"?3,999",45% off,Sponsored,4.7,-86
Polity & Constitution,365,?399,8% off,"English, Paperback, Arora Dr. Sidhartha",4.7,-136
Rastratattwer Sandhane (In Search of Political Theory),207,?250,17% off,"Paperback, Dr. Kartick Chandra Mukhapadhaya",4,-5
Indira Gandhi  - Indira Gandhi: A Life in Nature,520,?595,12% off,"English, Paperback, Ramesh Jairam",4.6,-18
28 Years Upsc Civil Services IAS Prelims Topic-Wise Sol...,100,?721,86% off,"English, Paperback, Patel Mrunal",4.5,"-7,896"
1000+ MCQs For UPSC Civil Services Exam | Indian Polity...,1899,"?2,699",29% off,Sponsored,4.2,-9
Indian Polity For UPSC & Governance In India Book For U...,749,"?1,559",51% off,Sponsored,4.5,-8
